中央1(电信),#genre#
山东卫视,http://192.168.2.222:4022/rtp/239.10.0.182:1025#http://192.168.2.222:4022/rtp/239.10.0.56:1025
江西卫视,http://192.168.2.222:4022/rtp/239.10.0.80:1025
河北卫视,http://192.168.2.222:4022/rtp/239.10.0.79:1025
河南卫视,http://192.168.2.222:4022/rtp/239.11.0.94:1025
湖北卫视,http://192.168.2.222:4022/rtp/239.10.0.134:1025#http://192.168.2.222:4022/rtp/239.10.0.54:1025
贵州卫视,http://192.168.2.222:4022/rtp/239.10.0.222:1025#http://192.168.2.222:4022/rtp/239.20.0.212:2222
辽宁卫视,http://192.168.2.222:4022/rtp/239.10.0.185:1025#http://192.168.2.222:4022/rtp/239.10.0.58:1025
重庆卫视,http://192.168.2.222:4022/rtp/239.10.0.205:1025
黑龙江卫视,http://192.168.2.222:4022/rtp/239.10.0.133:1025#http://192.168.2.222:4022/rtp/239.10.0.53:1025
教育卫视,http://192.168.2.222:4022/rtp/239.10.0.223:1025
云南卫视,http://192.168.2.222:4022/rtp/239.11.0.171:1025
海南卫视,http://192.168.2.222:4022/rtp/239.11.0.172:1025
厦门卫视,http://192.168.2.222:4022/rtp/239.20.0.168:2134
三沙卫视,http://192.168.2.222:4022/rtp/239.21.0.143:3916#http://192.168.2.222:4022/rtp/239.20.0.52:3192
青海卫视,http://192.168.2.222:4022/rtp/239.21.0.144:3920
金鹰纪实,http://192.168.2.222:4022/rtp/239.10.0.206:1025#http://192.168.2.222:4022/rtp/239.20.0.196:2190#http://192.168.2.222:4022/rtp/239.10.0.59:1025
大湾区卫视,http://192.168.2.222:4022/rtp/239.10.0.77:1025
地方(移动),#genre#
广东科教,http://192.168.2.222:4022/rtp/239.20.0.98:3008#http://192.168.2.222:4022/rtp/239.10.0.46:1025#http://192.168.2.222:4022/rtp/239.10.0.112:1025
广东珠江,http://192.168.2.222:4022/rtp/239.10.0.62:1025#http://192.168.2.222:4022/rtp/239.10.0.63:1025
广东新闻,http://192.168.2.222:4022/rtp/239.10.0.199:1025
广东影视,http://192.168.2.222:4022/rtp/239.11.0.79:1025
广东少儿,http://192.168.2.222:4022/rtp/239.21.0.87:3688#http://192.168.2.222:4022/rtp/239.11.0.81:1025
广东公共,http://192.168.2.222:4022/rtp/239.11.0.80:1025
广东体育,http://192.168.2.222:4022/rtp/239.10.0.113:1025#http://192.168.2.222:4022/rtp/239.10.0.47:1025
广东民生,http://192.168.2.222:4022/rtp/239.21.0.86:3684#http://192.168.2.222:4022/rtp/239.20.0.113:2024
大湾区卫视,http://192.168.2.222:4022/rtp/239.21.0.84:3676
广东综艺,http://192.168.2.222:4022/rtp/239.10.0.75:1025
广州综合,http://192.168.2.222:4022/rtp/239.11.0.138:1025
广州新闻,http://192.168.2.222:4022/rtp/239.21.0.93:3712#http://192.168.2.222:4022/rtp/239.11.0.139:1025
广州影视,http://192.168.2.222:4022/rtp/239.11.0.140:1025
广州法治,http://192.168.2.222:4022/rtp/239.11.0.141:1025
广州竞赛,http://192.168.2.222:4022/rtp/239.11.0.142:1025
广东移动,http://192.168.2.222:4022/rtp/239.20.0.133:2064
岭南戏曲,http://192.168.2.222:4022/rtp/239.21.0.147:3932#http://192.168.2.222:4022/rtp/239.20.0.115:2028
现代教育,http://192.168.2.222:4022/rtp/239.21.0.148:3936#http://192.168.2.222:4022/rtp/239.20.0.128:2054
云浮综合,http://192.168.2.222:4022/rtp/239.11.0.96:1025
云浮公共,http://192.168.2.222:4022/rtp/239.11.0.97:1025
佛山综合,http://192.168.2.222:4022/rtp/239.11.0.118:1025
佛山公共,http://192.168.2.222:4022/rtp/239.11.0.114:1025
佛山影视,http://192.168.2.222:4022/rtp/239.11.0.117:1025
佛山南海,http://192.168.2.222:4022/rtp/239.11.0.115:1025
佛山顺德,http://192.168.2.222:4022/rtp/239.11.0.116:1025
中山综合,http://192.168.2.222:4022/rtp/239.11.0.122:1025
中山公共,http://192.168.2.222:4022/rtp/239.11.0.123:1025
中山教育,http://192.168.2.222:4022/rtp/239.11.0.124:1025
清远公共,http://192.168.2.222:4022/rtp/239.11.0.75:1025
清远综合,http://192.168.2.222:4022/rtp/239.11.0.74:1025
湛江公共,http://192.168.2.222:4022/rtp/239.10.0.254:1025
湛江综合,http://192.168.2.222:4022/rtp/239.10.0.253:1025
珠海一套,http://192.168.2.222:4022/rtp/239.10.0.242:1025
珠海二套,http://192.168.2.222:4022/rtp/239.10.0.65:1025
肇庆公共,http://192.168.2.222:4022/rtp/239.11.0.54:1025
肇庆综合,http://192.168.2.222:4022/rtp/239.11.0.53:1025
茂名公共,http://192.168.2.222:4022/rtp/239.11.0.99:1025
茂名综合,http://192.168.2.222:4022/rtp/239.10.0.238:1025
韶关公共,http://192.168.2.222:4022/rtp/239.11.0.85:1025
韶关综合,http://192.168.2.222:4022/rtp/239.11.0.84:1025
江门公共,http://192.168.2.222:4022/rtp/239.10.0.139:1025
江门教育,http://192.168.2.222:4022/rtp/239.10.0.152:1025
江门综合,http://192.168.2.222:4022/rtp/239.10.0.219:1025
汕头新闻综合,http://192.168.2.222:4022/rtp/239.21.0.101:3744
汕头经济生活,http://192.168.2.222:4022/rtp/239.21.0.102:3748
汕头文旅体育,http://192.168.2.222:4022/rtp/239.21.0.103:3752
其他(移动),#genre#
求索生活,http://192.168.2.222:4022/rtp/239.10.0.86:1025
求索记录,http://192.168.2.222:4022/rtp/239.11.0.128:1025
嘉佳卡通,http://192.168.2.222:4022/rtp/239.10.0.200:1025
金鹰卡通,http://192.168.2.222:4022/rtp/239.21.0.115:3804#http://192.168.2.222:4022/rtp/239.11.0.126:1025
CETV-2,http://192.168.2.222:4022/rtp/239.21.0.46:3524
CETV-4,http://192.168.2.222:4022/rtp/239.21.0.142:3912#http://192.168.2.222:4022/rtp/239.21.0.47:3528
早期教育,http://192.168.2.222:4022/rtp/239.11.0.100:1025
南国都市,http://192.168.2.222:4022/rtp/239.11.0.170:1025
CHC电影,http://192.168.2.222:4022/rtp/239.11.0.129:1025
世界地理,http://192.168.2.222:4022/rtp/239.11.0.63:1025
兵器科技,http://192.168.2.222:4022/rtp/239.11.0.57:1025
央视台球,http://192.168.2.222:4022/rtp/239.11.0.60:1025
文化精品,http://192.168.2.222:4022/rtp/239.11.0.66:1025
女性时尚,http://192.168.2.222:4022/rtp/239.11.0.62:1025
怀旧剧场,http://192.168.2.222:4022/rtp/239.11.0.64:1025
第一剧场,http://192.168.2.222:4022/rtp/239.11.0.67:1025
风云剧场,http://192.168.2.222:4022/rtp/239.21.0.76:3644#http://192.168.2.222:4022/rtp/239.11.0.65:1025
